db,Age,count
BigQuery,18-24 years old,0.0
BigQuery,25-34 years old,0.0
BigQuery,35-44 years old,676.0
BigQuery,45-54 years old,0.0
BigQuery,55-64 years old,0.0
BigQuery,65 years or older,0.0
BigQuery,Prefer not to say,0.0
BigQuery,Under 18 years old,0.0
Cassandra,18-24 years old,0.0
Cassandra,25-34 years old,0.0
Cassandra,35-44 years old,0.0
Cassandra,45-54 years old,0.0
Cassandra,55-64 years old,0.0
Cassandra,65 years or older,0.0
Cassandra,Prefer not to say,0.0
Cassandra,Under 18 years old,67.0
Cloud Firestore,18-24 years old,0.0
Cloud Firestore,25-34 years old,0.0
Cloud Firestore,35-44 years old,0.0
Cloud Firestore,45-54 years old,0.0
Cloud Firestore,55-64 years old,0.0
Cloud Firestore,65 years or older,0.0
Cloud Firestore,Prefer not to say,0.0
Cloud Firestore,Under 18 years old,103.0
Dynamodb,18-24 years old,0.0
Dynamodb,25-34 years old,1534.0
Dynamodb,35-44 years old,945.0
Dynamodb,45-54 years old,312.0
Dynamodb,55-64 years old,0.0
Dynamodb,65 years or older,0.0
Dynamodb,Prefer not to say,7.0
Dynamodb,Under 18 years old,0.0
Elasticsearch,18-24 years old,1087.0
Elasticsearch,25-34 years old,2706.0
Elasticsearch,35-44 years old,1651.0
Elasticsearch,45-54 years old,573.0
Elasticsearch,55-64 years old,148.0
Elasticsearch,65 years or older,15.0
Elasticsearch,Prefer not to say,15.0
Elasticsearch,Under 18 years old,0.0
Firebase Realtime Database,18-24 years old,825.0
Firebase Realtime Database,25-34 years old,0.0
Firebase Realtime Database,35-44 years old,0.0
Firebase Realtime Database,45-54 years old,0.0
Firebase Realtime Database,55-64 years old,0.0
Firebase Realtime Database,65 years or older,0.0
Firebase Realtime Database,Prefer not to say,0.0
Firebase Realtime Database,Under 18 years old,108.0
MariaDB,18-24 years old,1242.0
MariaDB,25-34 years old,1994.0
MariaDB,35-44 years old,1454.0
MariaDB,45-54 years old,710.0
MariaDB,55-64 years old,287.0
MariaDB,65 years or older,85.0
MariaDB,Prefer not to say,21.0
MariaDB,Under 18 years old,154.0
Microsoft Access,18-24 years old,0.0
Microsoft Access,25-34 years old,0.0
Microsoft Access,35-44 years old,0.0
Microsoft Access,45-54 years old,0.0
Microsoft Access,55-64 years old,0.0
Microsoft Access,65 years or older,47.0
Microsoft Access,Prefer not to say,12.0
Microsoft Access,Under 18 years old,0.0
Microsoft SQL Server,18-24 years old,1115.0
Microsoft SQL Server,25-34 years old,2631.0
Microsoft SQL Server,35-44 years old,2184.0
Microsoft SQL Server,45-54 years old,1226.0
Microsoft SQL Server,55-64 years old,552.0
Microsoft SQL Server,65 years or older,104.0
Microsoft SQL Server,Prefer not to say,26.0
Microsoft SQL Server,Under 18 years old,0.0
MongoDB,18-24 years old,3027.0
MongoDB,25-34 years old,4363.0
MongoDB,35-44 years old,2140.0
MongoDB,45-54 years old,773.0
MongoDB,55-64 years old,234.0
MongoDB,65 years or older,45.0
MongoDB,Prefer not to say,26.0
MongoDB,Under 18 years old,374.0
MySQL,18-24 years old,3077.0
MySQL,25-34 years old,4465.0
MySQL,35-44 years old,2536.0
MySQL,45-54 years old,1125.0
MySQL,55-64 years old,471.0
MySQL,65 years or older,143.0
MySQL,Prefer not to say,41.0
MySQL,Under 18 years old,411.0
Oracle,18-24 years old,0.0
Oracle,25-34 years old,0.0
Oracle,35-44 years old,0.0
Oracle,45-54 years old,408.0
Oracle,55-64 years old,195.0
Oracle,65 years or older,32.0
Oracle,Prefer not to say,0.0
Oracle,Under 18 years old,0.0
PostgreSQL,18-24 years old,10480.0
PostgreSQL,25-34 years old,17579.0
PostgreSQL,35-44 years old,10430.0
PostgreSQL,45-54 years old,4140.0
PostgreSQL,55-64 years old,1614.0
PostgreSQL,65 years or older,491.0
PostgreSQL,Prefer not to say,248.0
PostgreSQL,Under 18 years old,1902.0
Redis,18-24 years old,2235.0
Redis,25-34 years old,4542.0
Redis,35-44 years old,2779.0
Redis,45-54 years old,865.0
Redis,55-64 years old,176.0
Redis,65 years or older,20.0
Redis,Prefer not to say,21.0
Redis,Under 18 years old,209.0
SQLite,18-24 years old,3052.0
SQLite,25-34 years old,4897.0
SQLite,35-44 years old,3060.0
SQLite,45-54 years old,1293.0
SQLite,55-64 years old,493.0
SQLite,65 years or older,131.0
SQLite,Prefer not to say,55.0
SQLite,Under 18 years old,508.0
Snowflake,18-24 years old,0.0
Snowflake,25-34 years old,0.0
Snowflake,35-44 years old,0.0
Snowflake,45-54 years old,0.0
Snowflake,55-64 years old,81.0
Snowflake,65 years or older,0.0
Snowflake,Prefer not to say,0.0
Snowflake,Under 18 years old,0.0
Supabase,18-24 years old,983.0
Supabase,25-34 years old,1129.0
Supabase,35-44 years old,0.0
Supabase,45-54 years old,0.0
Supabase,55-64 years old,0.0
Supabase,65 years or older,0.0
Supabase,Prefer not to say,0.0
Supabase,Under 18 years old,168.0
